name,rating,pricing,num_reviews,street_address,is_closed,review_count,categories,city,distance,longitude,latitude
"Bell Flowers, Inc.",5.0,2.0,70,8947 Brookville Rd,False,70,"[{'alias': 'florists', 'title': 'Florists'}]",Silver Spring,2972.2027211689892,-77.052067077771,39.0030091782617
Danisa's Wholesale Fresh Flowers Inc,4.5,2.0,27,8870 Monard Dr,False,27,"[{'alias': 'florists', 'title': 'Florists'}]",Silver Spring,3567.8958193897115,-77.059157,39.001541
Potomac Floral Wholesale,3.5,2.0,76,2403 Linden Ln,False,76,"[{'alias': 'florists', 'title': 'Florists'}, {'alias': 'wholesale_stores', 'title': 'Wholesale Stores'}]",Silver Spring,3155.3021436486033,-77.0503376,39.0096488
Garden Vivien,5.0,,1,2223 Kansas Ave,False,1,"[{'alias': 'florists', 'title': 'Florists'}]",Silver Spring,2721.7721418771043,-77.049093,39.00329
J R Wright & Sons,4.5,2.0,27,12621 New Hampshire Ave,False,27,"[{'alias': 'gardening', 'title': 'Nurseries & Gardening'}]",Silver Spring,7336.147522612828,-76.99883,39.06408
Da Vinci's Florist,4.0,2.0,37,2756 Garfield Ave,False,37,"[{'alias': 'florists', 'title': 'Florists'}, {'alias': 'partyequipmentrentals', 'title': 'Party Equipment Rentals'}, {'alias': 'floraldesigners', 'title': 'Floral Designers'}]",Silver Spring,3451.436877791858,-77.0577786380471,39.0018812943556
Creative Floral Designs,3.5,2.0,27,12158 Tech Rd,False,27,"[{'alias': 'florists', 'title': 'Florists'}, {'alias': 'floraldesigners', 'title': 'Floral Designers'}]",Silver Spring,7528.587951187222,-76.9671692,39.0547317
Edible Arrangements,2.5,,15,915 Bonifant St,False,15,"[{'alias': 'giftshops', 'title': 'Gift Shops'}, {'alias': 'chocolate', 'title': 'Chocolatiers & Shops'}, {'alias': 'florists', 'title': 'Florists'}]",Silver Spring,838.4865606230823,-77.0246125268926,38.9942319801585
Ella's Florals,5.0,,4,,False,4,"[{'alias': 'florists', 'title': 'Florists'}]",Silver Spring,5007.226265327675,-77.02887,38.99668
Roxana Multiservices,3.0,,6,8727 Flower Ave,False,6,"[{'alias': 'floraldesigners', 'title': 'Floral Designers'}, {'alias': 'florists', 'title': 'Florists'}]",Silver Spring,1238.2910973881753,-77.0038732019198,38.9995785759709
Citiflowers,2.5,,11,2321 Stewart Ave,False,11,"[{'alias': 'florists', 'title': 'Florists'}, {'alias': 'gardening', 'title': 'Nurseries & Gardening'}]",Silver Spring,2826.5364412990675,-77.050319,39.002958
Flower Avenue Market,2.0,1.0,2,8809 Flower Ave,False,2,"[{'alias': 'fleamarkets', 'title': 'Flea Markets'}]",Silver Spring,1257.6161095174807,-77.003387,39.000038
Flowers By Daniel,5.0,,1,,False,1,"[{'alias': 'eventservices', 'title': 'Event Planning & Services'}, {'alias': 'florists', 'title': 'Florists'}]",Silver Spring,1042.9886097519068,-77.0288696289062,38.9966812133789
Sweet Stems Floral,5.0,,2,3020 Beethoven Way,False,2,"[{'alias': 'floraldesigners', 'title': 'Floral Designers'}]",Silver Spring,9928.829935752308,-76.94592,39.069223
RISE Dispensaries - Silver Spring,5.0,,1,7900 Fenton St,False,1,"[{'alias': 'cannabis_clinics', 'title': 'Cannabis Clinics'}, {'alias': 'vitaminssupplements', 'title': 'Vitamins & Supplements'}, {'alias': 'vapeshops', 'title': 'Vape Shops'}]",Silver Spring,1310.8771595384706,-77.02418,38.989
Fiesta Rental Bounce,5.0,,1,,False,1,"[{'alias': 'partyequipmentrentals', 'title': 'Party Equipment Rentals'}, {'alias': 'balloonservices', 'title': 'Balloon Services'}]",Silver Spring,5007.226265327675,-77.02887,38.99668
Dollar City,4.0,,4,11231 New Hampshire Ave,False,4,"[{'alias': 'discountstore', 'title': 'Discount Store'}]",Silver Spring,5295.523909832566,-76.98822,39.041351
Fenton Street Market,4.0,2.0,10,,False,10,"[{'alias': 'artsandcrafts', 'title': 'Arts & Crafts'}, {'alias': 'antiques', 'title': 'Antiques'}]",Silver Spring,1900.8957444685095,-77.02902,38.99355
Les Gals Activewear Warehouse,4.5,2.0,19,2337 Distribution Cir,False,19,"[{'alias': 'dancewear', 'title': 'Dance Wear'}]",Silver Spring,2872.3919222729155,-77.049737,39.007221
Little Bitts Shop,4.5,3.0,17,11244 Triangle Ln,False,17,"[{'alias': 'cookingclasses', 'title': 'Cooking Classes'}, {'alias': 'bakeries', 'title': 'Bakeries'}]",Silver Spring,5327.612927846578,-77.0516954,39.0395545
PartyyMagic,4.5,,7,,False,7,"[{'alias': 'caricatures', 'title': 'Caricatures'}, {'alias': 'facepainting', 'title': 'Face Painting'}, {'alias': 'balloonservices', 'title': 'Balloon Services'}]",Silver Spring,5378.489400161124,-77.0419464111328,39.0438957214355
The Home Depot,2.5,2.0,77,2300 Broadbirch Dr,False,77,"[{'alias': 'hardware', 'title': 'Hardware Stores'}, {'alias': 'gardening', 'title': 'Nurseries & Gardening'}, {'alias': 'appliances', 'title': 'Appliances'}]",Silver Spring,8183.989085408582,-76.9608555,39.0584412
Giant Food,2.5,2.0,34,11221 New Hampshire Ave,False,34,"[{'alias': 'drugstores', 'title': 'Drugstores'}, {'alias': 'grocery', 'title': 'Grocery'}]",Silver Spring,5235.228134404648,-76.98973,39.04193
Elizabeth St. John Collections,2.5,2.0,3,,False,3,"[{'alias': 'bridal', 'title': 'Bridal'}]",Silver Spring,6991.04362307731,-76.9758274,39.0533891
